name,address,phone,lat,lon
Gankosh Coaching Center,,,23.7020893,90.4245169
Wisdom Ideal School and College,,,23.707077,90.4200904
Banglayon Rifle Biddhaniketon,,,23.7072988,90.4213813
Asia Khatun Bidya NIketan,,,23.7004726,90.4208506
Training Centre,,,23.7016797,90.4259367
Kamal Srimty Pathagar,"106l5, Dinanath Sen Road, Dhaka",,23.7024339,90.4238941
Documents Writer Shop,,,23.7010879,90.4263076
Madrasha,,,23.6987157,90.4281049
Ripon Library,,,23.6979405,90.4231019
Monija Rahman Girls High School,,,23.7039858,90.4226276
"Riverview Cantonment Board School, Middle school, Dhaka - Barisal Highway, Dhaka",,,23.688777,90.4293994
"Rajabari Postogola Vasha Prodip High School, Dhaka - Barisal Highway, Dhaka",,,23.6898249,90.4307257
"Madrasatul Falah International Dhaka, High school, Dhaka Mawa Road, Dhaka",,,23.694671,90.4362061
"Jamiatul Abrar Madrasa, Kindergarten, Dhonia - Dholaipar Rd, Dhaka",,,23.7011249,90.4366771
Mentor Ideal School,,,23.681485,90.4191485
Barnamala Adarsha School And College,,,23.6835389,90.416425
Shanti Niketon School And College,,,23.6821877,90.4136008
Ekuria Model School And College,,,23.683959,90.4194753
Mokampara Ideal Kindergarten and School,,,23.68571,90.4240693
Hasnabad Housing Model School,,,23.6809338,90.4222403
Bangladesh Bank Adarsha High School,Dhaka,,23.6978621,90.4252498
Anjuman Mufidul Islam Balika Home (yatimkhana),"5, S.K.Das Road, Dhaka",,23.7025232,90.4206122
Necharia Kamil Madrasa,"46, Dhalka Nagar Lane, Dhaka, 1204",,23.6974915,90.4273583
Anjuman Jamilur Rahman Islamiya Junior High School,"12/1, Akshay Das Lane, Dhaka",,23.7031333,90.4213393
Gandaria Govt. Girl's Primary School,"7, Dinnath Sen Road, Dhaka",,23.702801,90.42307
Gandaria Ideal School & College,"6/2, Shasibhusun Chartijee Lane, Dhaka",,23.7058222,90.4230446
Gandaria Mohila Samiti Government Primary School,"17, Shoshibushun Road, Dhaka",,23.7049216,90.4236984
Dolairpar High School,"Mirhajirbag Road, Dhaka",,23.7029608,90.4339033
Bangladesh Bank Adorsho Uccho Biddaloy,"Bank Colony Road, Dhaka",,23.6969513,90.425578
Manija Rahman Girls School,"23-26, Rajani Chowdhury Road, Dhaka",,23.7038508,90.4226794
Hazrat Fatema Mohila Madrasa,"99/5, Dinanath Sen Road, Dhaka",,23.7026928,90.4250804
Loharpul Sorkari Primary School,"100, S.K.Das Road, Dhaka",,23.7022355,90.4203332
Shapla Kinder Garten,"18, S B C Lane, Dhaka",,23.7050902,90.423778
Gandaria High School,,,23.7015344,90.4244242
World sain intarnational School,"23, Distilary road, Dhaka",,23.7062841,90.4209326
Rose Garden School,"52/3, Dhalka Nagor Lane",,23.6981163,90.4264018
Adorsho Accademy Gendariya,"33/Kha/10, Shatis Soekar",,23.7025547,90.4271631
Kisholy Kochi Kachar Mela,,,23.7031792,90.4235725
Nesaria Kamil Madrasa,"46, Dhalka Nagar Lane, Dhaka, 1204",,23.6974329,90.4271745
Kobbad Sardar School,Distillery Road,,23.7075479,90.4232035
