name,address,phone,lat,lon
Winsor School Library,"Pilgrim Road, Boston, 02215",,42.3410229,-71.1075466
Cambridge Hospital Bor Medical Library,"1493, Cambridge Street, Cambridge",,42.374487,-71.1042697
Albert Alphin Library,"8, Fenway, Boston, 02215",,42.3454876,-71.0903462
Adult Literacy Resource Center,"989, Commonwealth Avenue, Boston, 02215",,42.3520334,-71.1203123
The Libraries,"243, Charles Street, Boston, 02114",,42.3633915,-71.0694278
Bakalar Music Library,"1, Follen Street, Cambridge, 02138",,42.3787529,-71.1233952
Cummings School Library,"42, Prescott Street, Somerville, 02143",,42.3854932,-71.0992628
William Morris Hunt Memorial Library,"300, Massachusetts Avenue, Boston",,42.3432777,-71.0851429
Snowden International School Library,"150, Newbury Street, Boston, 02116",,42.3505737,-71.0779829
Advent School Library,"17, Brimmer Street, Boston, 02108",,42.3582426,-71.0721306
Patient And Family Learning Center,"55, Fruit Street, Boston",,42.3629815,-71.0685994
Harrison Lyman Library,"Science Park, Boston",,42.367256,-71.070508
The Learning Center,"330, Brookline Avenue, Boston, 02215",,42.34128,-71.10468
The Learning Project Elementary School,"107, Marlborough Street, Boston, 02116",+1-617-266-8427,42.3535373,-71.0770897
EDCO Youth Alternative,"650, Beacon Street, Boston, 02215",+1 617 262 9562,42.3493369,-71.095856
Newman School,"245-247, Marlborough Street, Boston, 02116",+1-617-267-4530,42.3521992,-71.0819614
MATCH Charter Public High School,"1001, Commonwealth Avenue, Boston, 02215",+1 617 232 0300,42.3521128,-71.1209974
Advent School,"17, Brimmer Street, Boston, 02108",+1 617 742 0520,42.3582148,-71.0719535
Park Street School,"67, Brimmer Street, Boston, 02108",+1 617 523 7577,42.3563955,-71.0717155
Bay Cove Academy,"156, Lawton Street, Brookline, 02446",+1 617 739 1794,42.3499083,-71.126739
Boston Trinity Academy,"1187, Beacon Street, Brookline, 02446",+1 617 975 0080,42.3434087,-71.1148759
Castle School Inc,"298, Harvard Street, Cambridge, 02139",+1 617 354 5410,42.369517,-71.1057346
The Kingsley School,"30, Fairfield Street, Boston, 02116",+1-617-536-5984,42.3503117,-71.0823043
Winter Hill School at Edgerly,"8, Bonair Street, Somerville, 02145",+1-617-625-6600,42.3874449,-71.0876142
Cummings School,,,42.3852808,-71.0992408
Cambridge Junior College,,,42.3853745,-71.1239418
Northeastern Junior High School,,,42.3906524,-71.0950523
Saint Johns High School,,,42.3750992,-71.1300529
Boston Childrens School,,,42.3653751,-71.0675513
Boston University School of Law,,,42.3511035,-71.1072381
Harvard Divinity School,,,42.3800857,-71.1130123
John F Kennedy School of Government,,,42.3715439,-71.122104
Longy School of Music of Bard College,,,42.3784429,-71.1233492
New England College of Optometry,"424, Beacon Street, Boston, 02116",+1-617-266-2030,42.3518544,-71.0868076
Old Cambridge Baptist Church School,,,42.371748,-71.1141841
Saint Anthonys School,,,42.3825796,-71.1044754
St. Paul’s Choir School,"29, Mount Auburn Street, Cambridge, 02138",+1 617 868 8658,42.3712797,-71.1157169
School of Fashion Design,"136, Newbury Street, Boston, 02116",+1-617-536-9343,42.3509061,-71.0768656
Boston Evening Academy HMCS School,,,42.3520682,-71.1206751
Metcalf Center for Science and Engineering,,,42.3486129,-71.100953
Eda Kuhn Loeb Music Library,,,42.376964,-71.1170152
McKay and Blue Hill Library,,,42.3780016,-71.1170381
Youville Hospital School of Practical Nursing Library,,,42.3746771,-71.1066974
Tozzer Library,,+1 617-495-2253,42.3785534,-71.1148047
Frances Loeb Library,,,42.3759405,-71.1139182
Cabot Science Library,,,42.3761636,-71.1163126
Physics Research Library,,,42.377305,-71.1172917
Harvard University Psychology Research Library,,,42.3771216,-71.1135784
Gutman Library,,,42.3749185,-71.1217096
Harvard University Fine Arts Library,,,42.3763632,-71.1182075
Harvard Law School Library,,,42.3779559,-71.1185838
Kummel Library of Geological Sciences,,,42.3782011,-71.1147103
Massachusetts Eye and Ear Infirmary Libraries,,,42.362633,-71.070327
Harvard Kennedy School Library,,,42.3711732,-71.1216494
Palmer-Davis Library,,,42.3631529,-71.0694958
Pusey Library,,,42.3736275,-71.1158822
Carr Health Sciences Library,,,42.3850968,-71.1064413
East Somerville Branch Public Library of the City of Somerville,,,42.3879326,-71.0835948
Boston University School of Theology Library,,,42.3505,-71.1072
William Howard Taft Middle School Library,,,42.352203,-71.1206362
The Mary Baker Eddy Library for the Betterment of Humanity,,+1-617-450-7000,42.3451224,-71.0862018
Harvard University Museum of Comparative Zoology Library,,,42.3785878,-71.1155943
Eliot House Library,,,42.3700745,-71.1219298
Tree House Academy,,,42.3782809,-71.1072055
School of Law Library,,,42.3509676,-71.1072949
Pickering Educational Resources Library,,,42.3496876,-71.1006718
Frederick S Pardee Management Library,,,42.3496167,-71.0996764
Barker Library,Cambridge,,42.3597611,-71.0920607
Rotch Library,,,42.359247,-71.0933124
Dewey Library,,,42.3611465,-71.0837124
Harvard Law School,,,42.3791064,-71.1196785
Mass Ave Music,"487, Somerville Avenue, Somerville, 02143",+1-617-764-4143,42.3829313,-71.1044559
Subcentral,"645, Massachusetts Avenue, Cambridge, 02139",,42.3655318,-71.1035902
New England School of Language,,,42.3725026,-71.1195257
Cambridge Center for Adult Education,,,42.3736527,-71.121688
Hayden Memorial Library,Cambridge,,42.3590395,-71.0894857
Lewis Music Library,,,42.359411,-71.0891117
Our Future Learning Center,"14-20, Linden Street",,42.3554923,-71.1306195
Norman B. Leventhal Map Center,"700, Boylston Street, Boston, 02176",,42.3494397,-71.0781642
The Learning Center,"657, Cambridge Street",,42.3720865,-71.0872453
Berklee College of Music - Piano Percussion,"171, Massachusetts Avenue, Boston, 02215",,42.3459766,-71.0873104
Berklee College of Music,"186, Massachusetts Avenue, 02215",,42.3457128,-71.0867654
Friendship Auto School,"235, Highland Avenue, Somerville, 02143",+1-617-776-5911,42.3908197,-71.1091041
International Driving School,Highland Avenue,+1 617 666 2566,42.3884539,-71.1031544
Bright Horizons,"129, Franklin Street, Cambridge, 02139",+16175752656,42.3628087,-71.1018743
Kingsley Montessori School,"26, Exeter Street, Boston, 02116",+1-617-226-4900,42.3505808,-71.0798233
Forsyth Institute,,,42.3636113,-71.0788471
New England College of Optometry Library,,+1-617-587-5589,42.351948,-71.0868521
Moriarty Library,,,42.3864275,-71.1185743
Goethe-Institut,"170, Beacon Street, Boston, 02116",+1-617-610-9398,42.3546324,-71.0764676
Bright Horizons,"185, Dartmouth Street, Boston, 02116",+1-617-603-2570,42.3487006,-71.0755899
Psychiatry Neuroimaging Laboratory,"1249, Boylston Street, Boston, 02215",+1-617-525-6105,42.3453776,-71.0960977
Cambridge Preschool of the Arts,"8, Museum Way, Cambridge, 02141",+1-617-547-9189,42.3697186,-71.0718107
Page Music Lessons,"334, Newbury Street, Boston, 02115",+1-617-267-7243,42.3482785,-71.0864825
BU Center for Antiracist Research,"745, Commonwealth Avenue, Boston, 02215",,42.3504997,-71.107441
Harvard Musical Association,"57A, Chestnut Street, Boston, 02108",+1-617-523-2897,42.3572176,-71.0694294
O'Connell Branch Library,"48, Sixth Street, Cambridge, 02141",,42.3704407,-71.0848233
Valente Branch Library,"826, Cambridge Street, Cambridge, 02141",,42.3721548,-71.0902467
Andover-Harvard Theological Library,,,42.3796006,-71.1133173
Center of Mathematical Sciences and Applications,,,42.3776972,-71.1233706
Black Hole Initiative,,,42.3777267,-71.123398
ASC English,"1106A, Commonwealth Avenue",,42.3516034,-71.1246986
BU Metropolitan College,,,42.351288,-71.1211898
Harvard Graduate School of Education,"13, Appian Way, Cambridge, 02138",,42.3753953,-71.1218908
Approach International Student Center,"196, Harvard Avenue, Allston, 02134",,42.3507633,-71.1310485
Saint Herman of Alaska Christian School,,,42.3541827,-71.1319811
Boston Drum Lessons,"138, Harvard Avenue, Allston, 02134",,42.3521774,-71.1313496
Computer Systems Institute,"1105, Commonwealth Avenue",,42.3518984,-71.1254782
ESL Academy,"1105, Commonwealth Avenue",,42.3519148,-71.1255024
Boston Islamic Seminary,,,42.3517542,-71.1344093
ABCD Head Start & Children's Services,,,42.3518176,-71.1344435
Barlow Voice Studios,,,42.3553818,-71.1350244
International School of Advanced Learning,,,42.3554648,-71.1306026
Paul F. Glenn Center for Biology of Aging Research,"77, Avenue Louis Pasteur, Boston",,42.3387705,-71.1027833
MIT Library Storage Annex,"1, State Street",,42.3627738,-71.0988449
Cambridge Piano Lessons,"1000, Cambridge Street, Cambridge, 02141",,42.3726833,-71.093614
Radcliffe Institute for Advanced Studies,,,42.3761587,-71.1223168
Everbrook Academy,"302, Harvard Street",,42.3429633,-71.1228251
Farr Academy,"71, Pearl Street, Cambridge, 02139",+16174924922,42.3630489,-71.1045438
Boston University Stone Science Library,,,42.3502338,-71.1038043
Nuvu Studio,,,42.3635005,-71.1012479
Northeastern University Annex Office,"216, Massachusetts Avenue, 02115",,42.3449422,-71.085421
Pardee School of Global Studies,"121, Bay State Road, Boston, 02215",,42.3503955,-71.0989146
Boston Architectural College LIbrary,"320, Newbury Street, Boston, 02115",,42.348552,-71.0857907
Kingsley Montessori School,"26, Exeter Street, Boston, 02116",,42.3506768,-71.0794606
The Engine,"750 Main Street Cambridge, MA 02139",,42.3629069,-71.0962084
The Mary Baker Eddy Library For The Betterment Of Mankind,,,42.3452229,-71.0863665
Cambridge Rindge and Latin School,,,42.3748733,-71.1106161
The Tango Society of Boston,"16, Bow Street, Somerville, 02143",,42.3807032,-71.097214
Rola Languages,,,42.3861275,-71.1195064
Panda Bilingual Child Care,"763, Cambridge Street",,42.3723852,-71.0894158
