name,address,phone,lat,lon
Ripon Library,,,23.6979405,90.4231019
"Riverview Cantonment Board School, Middle school, Dhaka - Barisal Highway, Dhaka",,,23.688777,90.4293994
"Rajabari Postogola Vasha Prodip High School, Dhaka - Barisal Highway, Dhaka",,,23.6898249,90.4307257
Ekuria Model School And College,,,23.683959,90.4194753
Mokampara Ideal Kindergarten and School,,,23.68571,90.4240693
Bangladesh Bank Adarsha High School,Dhaka,,23.6978621,90.4252498
Necharia Kamil Madrasa,"46, Dhalka Nagar Lane, Dhaka, 1204",,23.6974915,90.4273583
Bangladesh Bank Adorsho Uccho Biddaloy,"Bank Colony Road, Dhaka",,23.6969513,90.425578
Rose Garden School,"52/3, Dhalka Nagor Lane",,23.6981163,90.4264018
Nesaria Kamil Madrasa,"46, Dhalka Nagar Lane, Dhaka, 1204",,23.6974329,90.4271745
