name,address
City Ideal School,
জনতাবাগ উচ্চ বিদ্যালয়,
Muktadhara Pre-Cadet School মুক্তধারা প্রি-ক্যাডেট স্কুল,
Matuail Adorsho Kidergarden & High School,"Mridhabari-Shonirakhra Road, Dhaka, 1362, BD"
Jamia Islamia Darul Ulum Madania,"312, Dhaka, BD"
এ.কে. স্কুল অ্যান্ড কলেজ (২য় শাখা),"Dania Club Road, Dhaka, 1236"
A.K. School And College (Main Campus),"Dania-Dolairpar Road, Dhaka, 1236"
Shamsul Islam Ideal School and College,"Guru Soroni, Dhaka, 1236"
আদর্শ উচ্চ বিদ্যালয়,"আদর্শ স্কুল রোড, Dhaka, 1236"
স্টার লাইট প্রি ক্যাডেট স্কুল,
S.R. Model School,
এ.কে. স্কুল অ্যান্ড কলেজ (কলেজ ক্যাম্পাস),"ঢাকা - ডেমরা মহাসড়ক, Dhaka"
Mukul's Care,"595, দনিয়া-ধোলাইপার রোড, Dhaka, 1236, BD"
"Scholar Pre-Cadet & High School, Dhaka - Barisal Highway, Dhaka",
"Royal Society Residential Area, Residential college, Dhaka - Barisal Highway, Dhaka",
"Madrasatul Falah International Dhaka, High school, Dhaka Mawa Road, Dhaka",
"Jamiatul Abrar Madrasa, Kindergarten, Dhonia - Dholaipar Rd, Dhaka",
"Bangladesh Water Development Board Primary School, South Jatrabari, Dhaka",
"Metropolitan School & College, South Jatrabari, Dhaka",
"Cambrian College South Jatrabari, South Jatrabari, Dhaka",
Udvash Jatrabari Branch,Shahid Faruk Road
দনিয়া বিশ্ববিদ্যালয় কলেজ,"Dhaka–Chittagong Highway, Dhaka, 1236"
বর্ণমালা আদর্শ উচ্চ বিদ্যালয় ও কলেজ,"Shanir Akhra, Dhaka, 1236"
Dolairpar High School,"Mirhajirbag Road, Dhaka"
এ.কে. স্কুল অ্যান্ড কলেজ (প্রধান শাখা),"Dania-Dolairpar Road, Dhaka, 1236"
Dr. Mahbubur Rahman Mollah College,"Dhaka, 1362"
Dolairpar Primery School,"West Dolairpar, dolaipar high school road, Dhaka, 1204"
Dolairpar High School. Building-1,"dolaipar high school road, Dhaka, 1204"
Dhaka International Diploma Medical College,
