name,category
City Ideal School,school
জনতাবাগ উচ্চ বিদ্যালয়,school
Muktadhara Pre-Cadet School মুক্তধারা প্রি-ক্যাডেট স্কুল,school
Matuail Adorsho Kidergarden & High School,school
Jamia Islamia Darul Ulum Madania,college
এ.কে. স্কুল অ্যান্ড কলেজ (২য় শাখা),school
A.K. School And College (Main Campus),college
Shamsul Islam Ideal School and College,school
আদর্শ উচ্চ বিদ্যালয়,college
স্টার লাইট প্রি ক্যাডেট স্কুল,school
S.R. Model School,school
এ.কে. স্কুল অ্যান্ড কলেজ (কলেজ ক্যাম্পাস),college
Mukul's Care,college
"Scholar Pre-Cadet & High School, Dhaka - Barisal Highway, Dhaka",school
"Royal Society Residential Area, Residential college, Dhaka - Barisal Highway, Dhaka",college
"Madrasatul Falah International Dhaka, High school, Dhaka Mawa Road, Dhaka",school
"Jamiatul Abrar Madrasa, Kindergarten, Dhonia - Dholaipar Rd, Dhaka",madrasa
"Bangladesh Water Development Board Primary School, South Jatrabari, Dhaka",school
"Metropolitan School & College, South Jatrabari, Dhaka",school
"Cambrian College South Jatrabari, South Jatrabari, Dhaka",college
Udvash Jatrabari Branch,school
দনিয়া বিশ্ববিদ্যালয় কলেজ,college
বর্ণমালা আদর্শ উচ্চ বিদ্যালয় ও কলেজ,college
Dolairpar High School,school
এ.কে. স্কুল অ্যান্ড কলেজ (প্রধান শাখা),college
Dr. Mahbubur Rahman Mollah College,college
Dolairpar Primery School,school
Dolairpar High School. Building-1,school
Dhaka International Diploma Medical College,college
