name,address,phone,lat,lon
Gankosh Coaching Center,,,23.7020893,90.4245169
Training Centre,,,23.7016797,90.4259367
Kamal Srimty Pathagar,"106l5, Dinanath Sen Road, Dhaka",,23.7024339,90.4238941
Documents Writer Shop,,,23.7010879,90.4263076
Madrasha,,,23.6987157,90.4281049
Ripon Library,,,23.6979405,90.4231019
City Ideal School,,,23.7030681,90.4508047
জনতাবাগ উচ্চ বিদ্যালয়,,,23.6988954,90.4575917
ইউসেপ যাত্রাবাড়ী টেকনিক্যাল স্কুল,,,23.6927029,90.4720677
Muktadhara Pre-Cadet School মুক্তধারা প্রি-ক্যাডেট স্কুল,,,23.6931275,90.4506772
Matuail Adorsho Kidergarden & High School,"Mridhabari-Shonirakhra Road, Dhaka, 1362, BD",,23.7123321,90.452552
Jamia Islamia Darul Ulum Madania,"312, Dhaka, BD",,23.7068914,90.4379131
Monija Rahman Girls High School,,,23.7039858,90.4226276
Rafiqul Islam Khan School and College,,,23.6945621,90.4748046
এ.কে. স্কুল অ্যান্ড কলেজ (২য় শাখা),"Dania Club Road, Dhaka, 1236",,23.6983468,90.4445521
A.K. School And College (Main Campus),"Dania-Dolairpar Road, Dhaka, 1236",,23.701902,90.4431255
Shamsul Islam Ideal School and College,"Guru Soroni, Dhaka, 1236",,23.701797,90.4473814
আদর্শ উচ্চ বিদ্যালয়,"আদর্শ স্কুল রোড, Dhaka, 1236",,23.7040522,90.4455024
স্টার লাইট প্রি ক্যাডেট স্কুল,,,23.6979749,90.4487924
S.R. Model School,,,23.6983442,90.4452641
এ.কে. স্কুল অ্যান্ড কলেজ (কলেজ ক্যাম্পাস),"ঢাকা - ডেমরা মহাসড়ক, Dhaka",,23.7109724,90.4468692
Mukul's Care,"595, দনিয়া-ধোলাইপার রোড, Dhaka, 1236, BD",+8801752777065,23.701905,90.4445349
"Madrasatus Suffa Al-Arabia Dhaka, Adj. Baitun Najat Jame Masjid, Mir Hajirbag, Jatrabari, Dhaka",,,23.7082588,90.4276994
"Scholar Pre-Cadet & High School, Dhaka - Barisal Highway, Dhaka",,,23.7063231,90.4345556
"Royal Society Residential Area, Residential college, Dhaka - Barisal Highway, Dhaka",,,23.7064926,90.4345812
"Riverview Cantonment Board School, Middle school, Dhaka - Barisal Highway, Dhaka",,,23.688777,90.4293994
"Rajabari Postogola Vasha Prodip High School, Dhaka - Barisal Highway, Dhaka",,,23.6898249,90.4307257
"Madrasatul Falah International Dhaka, High school, Dhaka Mawa Road, Dhaka",,,23.694671,90.4362061
"Jamiatul Abrar Madrasa, Kindergarten, Dhonia - Dholaipar Rd, Dhaka",,,23.7011249,90.4366771
"Bangladesh Water Development Board Primary School, South Jatrabari, Dhaka",,,23.7073436,90.4356945
"Metropolitan School & College, South Jatrabari, Dhaka",,,23.7085103,90.4352421
"Cambrian College South Jatrabari, South Jatrabari, Dhaka",,,23.7092705,90.4349064
Little Friends Nursery School,,,23.7189767,90.4296706
AYAT College of Nursing & Health Sciences (ACNHS),,,23.7211551,90.4287503
Rizaul Karim Chowdhury Degree College,,,23.7147387,90.4290867
Brahmonchiron Government Primary School,,,23.7166838,90.4307333
Rose Garden High School Main Branch,,,23.7164766,90.4310017
Udvash Jatrabari Branch,Shahid Faruk Road,09666775566,23.7094679,90.4329882
Bangladesh Bank Adarsha High School,Dhaka,,23.6978621,90.4252498
Necharia Kamil Madrasa,"46, Dhalka Nagar Lane, Dhaka, 1204",,23.6974915,90.4273583
Anjuman Jamilur Rahman Islamiya Junior High School,"12/1, Akshay Das Lane, Dhaka",,23.7031333,90.4213393
Gandaria Govt. Girl's Primary School,"7, Dinnath Sen Road, Dhaka",,23.702801,90.42307
Gandaria Ideal School & College,"6/2, Shasibhusun Chartijee Lane, Dhaka",,23.7058222,90.4230446
Gandaria Mohila Samiti Government Primary School,"17, Shoshibushun Road, Dhaka",,23.7049216,90.4236984
দনিয়া বিশ্ববিদ্যালয় কলেজ,"Dhaka–Chittagong Highway, Dhaka, 1236",,23.7036155,90.4477191
বর্ণমালা আদর্শ উচ্চ বিদ্যালয় ও কলেজ,"Shanir Akhra, Dhaka, 1236",,23.7022922,90.4481928
Dolairpar High School,"Mirhajirbag Road, Dhaka",,23.7029608,90.4339033
Bangladesh Bank Adorsho Uccho Biddaloy,"Bank Colony Road, Dhaka",,23.6969513,90.425578
Manija Rahman Girls School,"23-26, Rajani Chowdhury Road, Dhaka",,23.7038508,90.4226794
Hazrat Fatema Mohila Madrasa,"99/5, Dinanath Sen Road, Dhaka",,23.7026928,90.4250804
Shapla Kinder Garten,"18, S B C Lane, Dhaka",,23.7050902,90.423778
Gandaria High School,,,23.7015344,90.4244242
Rose Garden School,"52/3, Dhalka Nagor Lane",,23.6981163,90.4264018
Adorsho Accademy Gendariya,"33/Kha/10, Shatis Soekar",,23.7025547,90.4271631
Kisholy Kochi Kachar Mela,,,23.7031792,90.4235725
Nesaria Kamil Madrasa,"46, Dhalka Nagar Lane, Dhaka, 1204",,23.6974329,90.4271745
Kobbad Sardar School,Distillery Road,,23.7075479,90.4232035
এ.কে. স্কুল অ্যান্ড কলেজ (প্রধান শাখা),"Dania-Dolairpar Road, Dhaka, 1236",,23.7019235,90.4430708
Jatrabari Ideal High School,,,23.7112177,90.4298582
তামিরুল মিল্লাত মহিলা কামিল মাদরাসা,,,23.6945874,90.4759169
মানিকনগর মডেল উচ্চ বিদ্যালয়,,,23.7221706,90.4347001
বাংলাদেশ ইসলামী বিশ্ববিদ্যালয়,,,23.7290761,90.4521073
