name,address,phone,lat,lon
Gankosh Coaching Center,,,23.7020893,90.4245169
"Surer Murchona Vcd,Dvd Center",,,23.7014056,90.4274237
Modina Telecom & Mobile Sarbising Center,"4, Doyagonj Bazar Road, Dhaka",,23.7110922,90.4239297
Ibne Sina D. Lab & Consultetion Center,"28, Doyagonj Natun Rasta, Dhaka",,23.7102536,90.4246
Madisin Center,,,23.7102303,90.4246161
Abargreen Academic Care,,,23.7058377,90.4250439
Geyan Kosh Coaching Centere,,,23.7030127,90.4238886
Training Centre,,,23.7016797,90.4259367
Geyan Khosh Coaching Centre,"8l1, Dinnathsen Road, Dhaka",,23.7031517,90.4232155
Kamal Srimty Pathagar,"106l5, Dinanath Sen Road, Dhaka",,23.7024339,90.4238941
Filicity Education Center,"47/2, Baghabari Lane, Dhaka",,23.7007046,90.4264518
Darull Ullum Al Amdadia,"46/A, Baghabari Lane, Dhaka",,23.7006467,90.4262612
Documents Writer Shop,,,23.7010879,90.4263076
Jamuna Electronic & Service Center,,,23.700125,90.4226958
Banglalink Service Centre,,,23.7014744,90.4287498
Digital Signboard Centere,,,23.7014695,90.4286466
Shapno Beauty Parlor & Training Centere,,,23.7020563,90.4282041
Recharge Centere,,,23.701456,90.4279934
Community Center,,,23.6987196,90.4285234
Madrasha,,,23.6987157,90.4281049
Ucash Mobile Recharge Center,"41/1/C, Haricharan Ray Road, Dhaka, 1204",,23.697605,90.4230336
Digital Centre,,,23.7041024,90.4225116
Ripon Library,,,23.6979405,90.4231019
Dhaka Coaching,"41/1, Haricharan Ray Road, Dhaka, 1204",,23.6973535,90.4233336
Taju Electronics Sarvice Center,"Haricharan Ray Road, Dhaka",,23.6982527,90.4225489
Moon Gift & Cosmetic Centre,,,23.6961874,90.4303003
College,,,23.6994482,90.4291856
City Ideal School,,,23.7030681,90.4508047
Al-Younuch Moshla Center,"Haricharan Ray Road, Dhaka, 1204",,23.6933814,90.4266587
Medicine Center,"13/A, K.M. Das Lane, Dhaka, 1203, BD",,23.717929,90.4270138
জনতাবাগ উচ্চ বিদ্যালয়,,,23.6988954,90.4575917
ইউসেপ যাত্রাবাড়ী টেকনিক্যাল স্কুল,,,23.6927029,90.4720677
Shanghai Chinese Restaurant & Party Center,"99, Dhaka-Mawa Highway, Dhaka, 1204",+8801924748437,23.7026928,90.4350153
Muktadhara Pre-Cadet School মুক্তধারা প্রি-ক্যাডেট স্কুল,,,23.6931275,90.4506772
Matuail Adorsho Kidergarden & High School,"Mridhabari-Shonirakhra Road, Dhaka, 1362, BD",,23.7123321,90.452552
Jamia Islamia Darul Ulum Madania,"312, Dhaka, BD",,23.7068914,90.4379131
Monija Rahman Girls High School,,,23.7039858,90.4226276
Rafiqul Islam Khan School and College,,,23.6945621,90.4748046
এ.কে. স্কুল অ্যান্ড কলেজ (২য় শাখা),"Dania Club Road, Dhaka, 1236",,23.6983468,90.4445521
A.K. School And College (Main Campus),"Dania-Dolairpar Road, Dhaka, 1236",,23.701902,90.4431255
Shamsul Islam Ideal School and College,"Guru Soroni, Dhaka, 1236",,23.701797,90.4473814
Rainbow Bridge Restaurant & Party Center,,+8801766884516,23.7016705,90.4476969
আদর্শ উচ্চ বিদ্যালয়,"আদর্শ স্কুল রোড, Dhaka, 1236",,23.7040522,90.4455024
স্টার লাইট প্রি ক্যাডেট স্কুল,,,23.6979749,90.4487924
S.R. Model School,,,23.6983442,90.4452641
আহম্মদিয়া জিলানিয়া হাফেজিয়া মাদ্রাসা,Baitus Salam Jame Mosjid Road,,23.6993488,90.4479021
এ.কে. স্কুল অ্যান্ড কলেজ (কলেজ ক্যাম্পাস),"ঢাকা - ডেমরা মহাসড়ক, Dhaka",,23.7109724,90.4468692
Mukul's Care,"595, দনিয়া-ধোলাইপার রোড, Dhaka, 1236, BD",+8801752777065,23.701905,90.4445349
"Madrasatus Suffa Al-Arabia Dhaka, Adj. Baitun Najat Jame Masjid, Mir Hajirbag, Jatrabari, Dhaka",,,23.7082588,90.4276994
"Progress Academy Coaching Center, Education center, 2 Mia Bari Road, Mir Hazir Bag New Road, Dhaka",,,23.7072156,90.4290883
"Sristi Telecom & Sales Center, Cell phone store, Mir Hajir Bag, Dhaka",,,23.7056852,90.4314222
"Islamia Academy Madrasah, Mir Hajirbag New Rd, Dhaka",,,23.7090825,90.4276346
"Scholar Pre-Cadet & High School, Dhaka - Barisal Highway, Dhaka",,,23.7063231,90.4345556
"Bandhan Community Center, Community center, New Road, Dhaka",,,23.7098834,90.4256068
"MTB Par Gendaria Agent Banking Centre, Doyagonj New Rd, Dhaka",,,23.7094705,90.4262051
"Islami Academy Bangladesh, Religious institution, Khaiipara Chowrasta, Dhaka",,,23.7080014,90.4292746
"Royal Society Residential Area, Residential college, Dhaka - Barisal Highway, Dhaka",,,23.7064926,90.4345812
"Anwara Homeo Medical Centre, Rahman Mansion, Jatrabari Chowrasta, Dhaka",,,23.7097546,90.4341178
"Rabbi Shopping Centre, Womens clothing store, Hazi Samad Super Market, South Jatrabari, Dhaka",,,23.7092845,90.4342269
"Al-Hakim eye hospital and Phaco Center, Hospital, Haque Plaza, Dhaka",,,23.7070106,90.4345125
"Riverview Cantonment Board School, Middle school, Dhaka - Barisal Highway, Dhaka",,,23.688777,90.4293994
"Top Tiles & Sanitary, Tile store, Ideal High School Market, North Jatrabari, Dhaka",,,23.7113867,90.4297406
"Best One Hijama Center, Hospital, Samiullah Plaza, Sahid Faruq Sarak, Dhaka",,,23.710031,90.4332148
"Rajabari Postogola Vasha Prodip High School, Dhaka - Barisal Highway, Dhaka",,,23.6898249,90.4307257
"M/s. New Sonali Tiles & Sanitary, West Of Ideal School, North West Jatrabari, Dhaka",,,23.7113386,90.4291937
"Hazi Market, Muradpur Hogh School Road, Jurain, Dhaka",,,23.6974247,90.4364859
"Madrasatul Falah International Dhaka, High school, Dhaka Mawa Road, Dhaka",,,23.694671,90.4362061
"Dholaipar Community Center, Community center, Service Rd, Dhaka - Mawa Hwy, Dhaka",,,23.7015924,90.4358684
"Jamiatul Abrar Madrasa, Kindergarten, Dhonia - Dholaipar Rd, Dhaka",,,23.7011249,90.4366771
"Amena Medical center, Medical Center, Dhonia Bazar Rd, Dhaka",,,23.7022135,90.4364704
"Dhaka Refilling And Service Centre Ltd, Gas station, Dhaka - Mawa Hwy, Dhaka",,,23.7047886,90.4353703
"Bangladesh Water Development Board Primary School, South Jatrabari, Dhaka",,,23.7073436,90.4356945
"Metropolitan School & College, South Jatrabari, Dhaka",,,23.7085103,90.4352421
"Scholars Coaching Centre, Education center, Dhaka - Sylhet Hwy, Dhaka",,,23.710982,90.4328328
"Cambrian College South Jatrabari, South Jatrabari, Dhaka",,,23.7092705,90.4349064
"Baitul Quran Was Sunnah Madrasa, BGB Bazar-Jatrabari, B.G B Market, Dhaka",,,23.7070399,90.4352214
"Noor Mosjid and Hifjul Quran Madrasha, Begum Ganj Ln, Dhaka",,,23.7092806,90.4225408
Madrasatul Qasem Al-Islamia,,,23.7196751,90.4286956
Markazul Uloom Womens Madrasa and Kindergarten,,,23.7126617,90.4309791
Little Friends Nursery School,,,23.7189767,90.4296706
AYAT College of Nursing & Health Sciences (ACNHS),,,23.7211551,90.4287503
KIBS English Medium Institute,,,23.7196895,90.4297591
Jamia Markazud Durus Al Islamia - Markazud Durus,,,23.7214782,90.4304845
Rizaul Karim Chowdhury Degree College,,,23.7147387,90.4290867
Brahmonchiron Government Primary School,,,23.7166838,90.4307333
Rose Garden High School Main Branch,,,23.7164766,90.4310017
Best Website And Software Development Company in Jatrabari,,,23.7129311,90.4304511
Udvash Jatrabari Branch,Shahid Faruk Road,09666775566,23.7094679,90.4329882
Bangladesh Bank Adarsha High School,Dhaka,,23.6978621,90.4252498
Necharia Kamil Madrasa,"46, Dhalka Nagar Lane, Dhaka, 1204",,23.6974915,90.4273583
Anjuman Jamilul School,"12/1, Akkhay Das Lane, Dhaka",,23.7029136,90.4214842
Anjuman Jamilur Rahman Islamiya Junior High School,"12/1, Akshay Das Lane, Dhaka",,23.7031333,90.4213393
